Offer_ID,Segment,Offer,Product Type
51,1,"Special offer: Get 15% off on all electronics for your next purchase!",Non-Consumable
52,1,"Exclusive clothing sale: Buy 1, Get 1 Free!",Consumable
53,1,"Special offer on designer clothing: Spend $200, Get $50 off on your next visit!",Consumable
54,1,"Flash sale: Up to 30% off on selected footwear!",Consumable
55,1,"Upgrade your wardrobe: Get 20% off on all accessories!",Consumable
56,1,"Limited time offer: Buy 2, Get 1 Free on all jewelry items!",Consumable
57,1,"Exclusive offer: Buy a suit and get a free tie of your choice!",Consumable
58,1,"Upgrade your shoe collection: Get 15% off on all footwear upgrades!",Consumable
59,1,"Special offer for fashion enthusiasts: Buy 2, Get 1 Free!",Consumable
60,1,"Introducing our latest collection of designer handbags with exclusive discounts!",Consumable
61,1,"Upgrade your style: Get 25% off on all beauty and grooming products!",Consumable
62,1,"Exclusive offer: Buy 2, Get 1 Free on all sunglasses!",Consumable
63,1,"Flash sale: Up to 40% off on selected designer clothing!",Consumable
64,1,"Buy a designer dress and get a free matching scarf!",Consumable
65,1,"Special offer: Spend $250 on clothing and get $50 voucher for next visit!",Consumable
66,1,"Upgrade your fashion accessories with exclusive discounts on watches and belts!",Consumable
67,1,"Get 30% off on all luxury handbags!",Consumable
68,1,"Exclusive clothing sale: Buy 1, Get 1 at 50% off on selected items!",Consumable
69,1,"Upgrade your jewelry collection with special discounts on rings and necklaces!",Consumable
70,1,"Flash sale: Up to 35% off on selected designer accessories!",Consumable
71,1,"Buy any two designer clothing items and get a third one free!",Consumable
72,1,"Special offer: Spend $300 on clothing and get $60 voucher for next visit!",Consumable
73,1,"Upgrade your luxury handbag collection: Get 20% off on all designer handbags!",Consumable
74,1,"Exclusive footwear sale: Buy 1, Get 1 at 50% off on selected items!",Consumable
75,1,"Upgrade your jewelry box with special discounts on bracelets and earrings!",Consumable
76,1,"Get 25% off on all designer sunglasses!",Consumable
77,1,"Exclusive offer: Buy 2, Get 1 Free on all designer accessories!",Consumable
78,1,"Flash sale: Up to 45% off on selected luxury handbags!",Consumable
79,1,"Buy a designer suit and get a free tie of your choice!",Consumable
80,1,"Special offer on luxury footwear: Spend $250, Get $60 off on your next visit!",Consumable
81,1,"Upgrade your designer clothing collection: Get 30% off on all items!",Consumable
82,1,"Exclusive offer: Buy a luxury watch and get a free leather strap!",Consumable
83,1,"Flash sale: Up to 50% off on selected high-end accessories!",Consumable
84,1,"Upgrade your shoe collection: Get 20% off on all designer footwear!",Consumable
85,1,"Special offer: Spend $350 on clothing and get $70 voucher for next visit!",Consumable
86,1,"Introducing our latest collection of luxury handbags with exclusive discounts!",Consumable
87,1,"Upgrade your style: Get 35% off on all high-end beauty and grooming products!",Consumable
88,1,"Exclusive offer: Buy 2, Get 1 Free on all high-end sunglasses!",Consumable
89,1,"Flash sale: Up to 60% off on selected designer jewelry!",Consumable
90,1,"Buy a luxury designer dress and get a free matching scarf!",Consumable
91,1,"Special offer: Spend $400 on clothing and get $80 voucher for next visit!",Consumable
92,1,"Upgrade your fashion accessories with exclusive discounts on designer belts and wallets!",Consumable
93,1,"Get 40% off on all luxury designer handbags!",Consumable
94,1,"Exclusive designer clothing sale: Buy 1, Get 1 at 50% off on selected items!",Consumable
95,1,"Upgrade your designer jewelry collection with special discounts on rings and necklaces!",Consumable
96,1,"Flash sale: Up to 70% off on selected high-end accessories!",Consumable
97,1,"Buy any two luxury designer clothing items and get a third one free!",Consumable
98,1,"Special offer: Spend $500 on clothing and get $100 voucher for next visit!",Consumable
99,1,"Upgrade your luxury handbag collection: Get 25% off on all designer handbags!",Consumable
100,1,"Exclusive footwear sale: Buy 1, Get 1 at 60% off on selected items!",Consumable
