Offer_ID,Segment,Offer,Product Type
0,0,"Get 20% off on all fresh produce for your next purchase!",Consumable
1,0,"Exclusive offer: Buy 2, Get 1 Free on canned goods!",Consumable
2,0,"Flash sale: Up to 30% off on selected dairy products!",Consumable
3,0,"Buy any two bakery items and get a third one free!",Consumable
4,0,"Special offer: Spend $100 on groceries and get $20 voucher for next visit!",Consumable
5,0,"Introducing our latest organic products with exclusive discounts!",Consumable
6,0,"Upgrade your pantry: Get 15% off on all non-perishable goods!",Consumable
7,0,"Limited time offer: Buy 1, Get 1 at 50% off on household essentials!",Consumable
8,0,"Flash sale: 30% off on cleaning supplies!",Consumable
9,0,"Exclusive supermarket sale: Up to 40% off on selected items!",Consumable
10,0,"Special offer for food enthusiasts: Buy 2, Get 1 Free!",Consumable
11,0,"Upgrade your cooking experience with exclusive discounts on kitchenware!",Consumable
12,0,"Buy any two beverages and get a third one free!",Consumable
13,0,"Get 25% off on all snacks and treats!",Consumable
14,0,"Exclusive offer: Buy a gift basket and get a free greeting card!",Consumable
15,0,"Upgrade your pet supplies with special discounts on pet food and toys!",Consumable
16,0,"Special offer on personal care items: Up to 30% off on selected products!",Non-Consumable
17,0,"Buy a bundle of fruits and get a free recipe book!",Consumable
18,0,"Introducing our latest collection of international foods with exclusive discounts!",Consumable
19,0,"Upgrade your beverage selection: Get 20% off on all beverages!",Consumable
20,0,"Exclusive offer: Buy 1, Get 1 at 50% off on organic foods!",Consumable
21,0,"Limited time offer: 20% off on all household essentials!",Non-Consumable
22,0,"Flash sale: Up to 40% off on selected grocery items!",Consumable
23,0,"Buy any two personal care items and get a third one free!",Non-Consumable
24,0,"Special offer: Spend $150 on groceries and get $30 voucher for next visit!",Consumable
25,0,"Upgrade your baking supplies with exclusive discounts on ingredients!",Consumable
26,0,"Get 30% off on all baby care products!",Non-Consumable
27,0,"Exclusive supermarket sale: Up to 50% off on selected items!",Consumable
28,0,"Buy a bundle of vegetables and get a free salad dressing!",Consumable
29,0,"Upgrade your kitchen gadgets with special discounts on utensils and appliances!",Non-Consumable
30,0,"Buy a bundle of cleaning supplies and get a free reusable cloth!",Consumable
31,0,"Special offer on personal care items: Up to 25% off on selected products!",Non-Consumable
32,0,"Introducing our latest collection of organic snacks with exclusive discounts!",Consumable
33,0,"Upgrade your vitamins and supplements: Get 15% off on all health upgrades!",Non-Consumable
34,0,"Exclusive offer: Buy 2, Get 1 Free on household essentials!",Consumable
35,0,"Limited time offer: 25% off on all organic foods!",Consumable
36,0,"Flash sale: Up to 30% off on selected health and wellness products!",Non-Consumable
37,0,"Buy any two baby care products and get a third one free!",Consumable
38,0,"Special offer: Spend $200 on groceries and get $40 voucher for next visit!",Consumable
39,0,"Upgrade your pantry: Get 20% off on all non-perishable goods!",Consumable
40,0,"Get 35% off on all organic snacks and treats!",Consumable
41,0,"Exclusive offer: Buy a bundle of organic produce and get a free reusable bag!",Consumable
42,0,"Upgrade your personal care routine: Get 20% off on all grooming upgrades!",Non-Consumable
43,0,"Special offer on household essentials: Up to 20% off on selected products!",Consumable
44,0,"Introducing our latest collection of natural and organic products with exclusive discounts!",Consumable
45,0,"Upgrade your cleaning routine with special discounts on eco-friendly products!",Consumable
46,0,"Buy a bundle of health and wellness products and get a free yoga mat!",Non-Consumable
47,0,"Exclusive supermarket sale: Up to 60% off on selected items!",Consumable
48,0,"Limited time offer: 30% off on all vitamins and supplements!",Non-Consumable
49,0,"Flash sale: Up to 40% off on selected organic foods!",Consumable
50,0,"Special offer on groceries: Spend $50, Get $10 off on your next visit!",Consumable
